timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel UV Radiation
20220121T0700,-0.27975458,4.510787,28.610443,0
20220121T0800,-0.5897546,6.28713,23.629364,0
20220121T0900,-0.88975465,6.5693827,9.462311,0
20220121T1000,-0.5497546,5.506941,11.309921,1.88
20220121T1100,0.7202454,6.638072,12.528809,9.42
20220121T1200,1.8502454,10.495713,22.166351,18.38
20220121T1300,2.5702453,10.137692,16.504364,18.37
20220121T1400,3.1402454,9.227524,20.55603,26.68
20220121T1500,3.5102453,7.968939,18.434952,15.8
20220121T1600,3.6202455,7.42159,14.03624,15.66
20220121T1700,3.4902453,5.6920996,18.434952,12.69
20220121T1800,2.4502454,4.379589,9.462311,4.46
20220121T1900,1.5702454,1.1384199,341.56506,0.06
20220121T2000,1.6002454,1.8,233.1301,0
20220121T2100,1.0502454,0.8049845,333.43497,0
20220121T2200,0.9102454,0.8049845,333.43497,0
20220121T2300,0.6802454,1.1384199,18.434952,0
20220122T0000,0.52024543,1.4399999,89.99999,0
20220122T0100,0.7202454,0.8049845,116.56505,0
20220122T0200,0.52024543,1.484318,194.03624,0
20220122T0300,-0.1897546,3.096837,215.53769,0
20220122T0400,-0.3097546,3.096837,215.53769,0
20220122T0500,-0.39975458,3.219938,206.56505,0
20220122T0600,-0.34975457,3.9763298,185.19443,0
20220122T0700,-0.40975457,2.9024127,187.12502,0
20220122T0800,-0.15975457,3.6179552,185.71059,0
20220122T0900,0.3002454,3.6,180,0
20220122T1000,0.4202454,2.1897945,189.46233,1.92
20220122T1100,1.2302454,1.8,216.8699,5.92
20220122T1200,2.3502455,1.2979984,213.69006,16
20220122T1300,3.5202456,1.5273507,225,22.25
20220122T1400,4.5302453,1.1384199,341.56506,26.69
20220122T1500,5.250245,1.1384199,341.56506,26.99
20220122T1600,5.440245,0.8049845,296.56506,19.08
20220122T1700,5.5502453,1.835647,348.69006,11.36
20220122T1800,4.960245,2.2768397,18.434952,4.81
20220122T1900,3.4402456,2.9024127,60.25511,0.08
20220122T2000,1.0402454,3.8773184,68.19859,0
